Country,Year,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Trust,Generosity
Madagascar,2020,137,4.165599823,0.244553208,0.823694348,0.500617027,0.192967549,0.076248638,0.191190064
Egypt,2020,138,4.151400089,0.875228941,0.982539535,0.59691131100000006,0.373684734,0.095461793,0.068801254
Sierra Leone,2020,139,3.926399946,0.240560383,0.747984946,0.203953966,0.382027686,0.047940936,0.257647008
Burundi,2020,140,3.775300026,0,0.403575271,0.295212835,0.275399059,0.212186828,0.187401786
Zambia,2020,141,3.759399891,0.536833763,0.896037281,0.36359334,0.49131754,0.086705238,0.250620902
Haiti,2020,142,3.720799923,0.284734428,0.646671355,0.37436673,0.169297516,0.161935672,0.463909656
India,2020,144,3.573299885,0.730576158,0.644198656,0.54057014,0.581142247,0.105587982,0.237072483
Malawi,2020,145,3.538000107,0.176534727,0.53036809,0.446163297,0.487389833,0.131633952,0.213185057
Yemen,2020,146,3.527400017,0.392701775,1.177477121,0.41500017,0.243721485,0.087352127,0.094689012
Botswana,2020,147,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.101786368,0.033407487
Tanzania,2020,148,3.476200104,0.457163125,0.872674644,0.442677855,0.509343088,0.203880861,0.27154091
Rwanda,2020,150,3.312299967,0.343242675,0.522876322,0.572383285,0.604087889,0.485542476,0.235704988
Zimbabwe,2020,151,3.299200058,0.425564021,1.047835231,0.375037611,0.37740472,0.080928579,0.151349187
Afghanistan,2020,153,2.566900015,0.30070585,0.356433839,0.266051531,0,0.001225785,0.135234714
Finland,2021,1,7.842,1.446,1.106,0.741,0.691,0.481,0.124
Denmark,2021,2,7.62,1.502,1.108,0.763,0.686,0.485,0.208
Switzerland,2021,3,7.571,1.566,1.079,0.816,0.653,0.413,0.204
Iceland,2021,4,7.554,1.482,1.172,0.772,0.698,0.17,0.293
Netherlands,2021,5,7.464,1.501,1.079,0.753,0.647,0.384,0.302
Norway,2021,6,7.392,1.543,1.108,0.782,0.703,0.427,0.249
Sweden,2021,7,7.363,1.478,1.062,0.763,0.685,0.448,0.244
Luxembourg,2021,8,7.324,1.751,1.003,0.76,0.639,0.353,0.166
New Zealand,2021,9,7.277,1.4,1.094,0.785,0.665,0.445,0.276
Austria,2021,10,7.268,1.492,1.062,0.782,0.64,0.292,0.215
Australia,2021,11,7.183,1.453,1.076,0.801,0.647,0.317,0.291
Israel,2021,12,7.157,1.376,1.074,0.788,0.509,0.119,0.208
Germany,2021,13,7.155,1.48,0.993,0.757,0.6,0.306,0.195
Canada,2021,14,7.103,1.447,1.044,0.798,0.648,0.335,0.246
Ireland,2021,15,7.085,1.644,1.092,0.753,0.606,0.367,0.238
Costa Rica,2021,16,7.069,1.134,0.966,0.722,0.673,0.083,0.105
United Kingdom,2021,17,7.064,1.423,1.062,0.757,0.58,0.306,0.34
Czech Republic,2021,18,6.965,1.37,1.09,0.703,0.58,0.046,0.052
United States,2021,19,6.951,1.533,1.03,0.621,0.554,0.154,0.252
Belgium,2021,20,6.834,1.463,0.998,0.747,0.489,0.187,0.088
France,2021,21,6.69,1.421,1.081,0.804,0.536,0.235,0.092
Bahrain,2021,22,6.647,1.409,0.899,0.662,0.661,0.139,0.246
Malta,2021,23,6.602,1.411,1.055,0.747,0.664,0.183,0.275
United Arab Emirates,2021,25,6.561,1.555,0.86,0.594,0.67,0.223,0.236
Saudi Arabia,2021,26,6.494,1.435,0.964,0.571,0.603,0.163,0.09
Spain,2021,27,6.491,1.375,1.057,0.826,0.462,0.124,0.135
Italy,2021,28,6.483,1.393,0.94,0.798,0.379,0.047,0.133
Slovenia,2021,29,6.461,1.36,1.093,0.722,0.69,0.085,0.122
Guatemala,2021,30,6.435,0.845,0.79,0.519,0.638,0.105,0.163
Uruguay,2021,31,6.431,1.164,1.042,0.649,0.625,0.223,0.128
Singapore,2021,32,6.377,1.695,1.019,0.897,0.664,0.547,0.176
Kosovo,2021,33,6.372,0.937,0.807,0.483,0.593,0.014,0.356
Slovakia,2021,34,6.331,1.304,1.066,0.653,0.468,0.018,0.107
Brazil,2021,35,6.33,1.028,0.944,0.571,0.514,0.117,0.142
Mexico,2021,36,6.317,1.126,0.83,0.634,0.585,0.089,0.092
Jamaica,2021,37,6.309,0.891,0.932,0.599,0.618,0.035,0.099
Lithuania,2021,38,6.255,1.35,1.065,0.612,0.476,0.073,0.056
Cyprus,2021,39,6.223,1.377,0.765,0.801,0.464,0.061,0.178
Estonia,2021,40,6.189,1.344,1.079,0.64,0.641,0.263,0.119
Panama,2021,41,6.18,1.298,0.976,0.667,0.596,0.053,0.079
Uzbekistan,2021,42,6.179,0.769,1.027,0.528,0.716,0.271,0.391
Chile,2021,43,6.172,1.2,0.946,0.678,0.438,0.07,0.159
Poland,2021,44,6.166,1.309,0.982,0.668,0.558,0.13,0.08
Kazakhstan,2021,45,6.152,1.23,1.103,0.527,0.573,0.132,0.143
Romania,2021,46,6.14,1.275,0.832,0.595,0.564,0.001,0.045
Kuwait,2021,47,6.106,1.461,0.857,0.58,0.591,0.13,0.12
Serbia,2021,48,6.078,1.101,0.924,0.634,0.482,0.066,0.189
El Salvador,2021,49,6.061,0.845,0.675,0.565,0.615,0.16,0.116
Mauritius,2021,50,6.049,1.178,0.996,0.574,0.59,0.096,0.153
Latvia,2021,51,6.032,1.285,1.047,0.587,0.405,0.089,0.082
Colombia,2021,52,6.012,1.021,0.866,0.615,0.554,0.063,0.1
Hungary,2021,53,5.992,1.301,1.083,0.615,0.454,0.04,0.067
Thailand,2021,54,5.985,1.107,0.957,0.596,0.611,0.028,0.375
Nicaragua,2021,55,5.972,0.693,0.904,0.604,0.553,0.176,0.201
Japan,2021,56,5.94,1.389,0.949,0.838,0.504,0.192,0.02
Argentina,2021,57,5.929,1.162,0.98,0.646,0.544,0.067,0.069
Portugal,2021,58,5.929,1.323,0.939,0.76,0.621,0.033,0.029
Honduras,2021,59,5.919,0.703,0.787,0.593,0.578,0.083,0.241
Croatia,2021,60,5.882,1.251,1.039,0.703,0.453,0,0.111
Philippines,2021,61,5.88,0.853,0.828,0.426,0.651,0.126,0.125
South Korea,2021,62,5.845,1.403,0.758,0.801,0.353,0.135,0.134
Peru,2021,63,5.84,0.986,0.833,0.623,0.536,0.031,0.087
Bosnia and Herzegovina,2021,64,5.813,1.032,0.919,0.618,0.395,0.005,0.261
Moldova,2021,65,5.766,0.985,0.888,0.542,0.536,0.013,0.137
Ecuador,2021,66,5.764,0.935,0.806,0.64,0.56,0.062,0.107
Kyrgyzstan,2021,67,5.744,0.665,0.971,0.501,0.673,0.02,0.266
Greece,2021,68,5.723,1.273,0.811,0.76,0.243,0.074,0
Bolivia,2021,69,5.716,0.842,0.782,0.486,0.6,0.064,0.138
Mongolia,2021,70,5.677,0.966,1.065,0.442,0.397,0.053,0.263
Paraguay,2021,71,5.653,0.983,0.97,0.549,0.602,0.037,0.206
Montenegro,2021,72,5.581,1.155,0.891,0.637,0.397,0.081,0.166
Dominican Republic,2021,73,5.545,1.106,0.879,0.555,0.581,0.144,0.101
Belarus,2021,75,5.534,1.124,1.007,0.56,0.326,0.199,0.07
Russia,2021,76,5.477,1.241,0.992,0.511,0.409,0.06,0.115
Tajikistan,2021,78,5.466,0.508,0.895,0.498,0.548,0.247,0.152
Vietnam,2021,79,5.411,0.817,0.873,0.616,0.679,0.091,0.124
Libya,2021,80,5.41,1.044,0.821,0.435,0.474,0.174,0.131
Malaysia,2021,81,5.384,1.259,0.797,0.587,0.624,0.064,0.27
Indonesia,2021,82,5.345,0.954,0.786,0.433,0.598,0.046,0.541
Congo (Brazzaville),2021,83,5.342,0.518,0.392,0.307,0.381,0.124,0.144
China,2021,84,5.339,1.061,0.785,0.665,0.636,0.117,0.093
Ivory Coast,2021,85,5.306,0.669,0.409,0.052,0.438,0.092,0.177
Armenia,2021,86,5.283,0.996,0.758,0.585,0.54,0.198,0.079
Nepal,2021,87,5.269,0.519,0.702,0.496,0.488,0.135,0.287
Bulgaria,2021,88,5.266,1.181,1.055,0.583,0.494,0.005,0.125
Azerbaijan,2021,90,5.171,1.025,0.841,0.541,0.526,0.276,0.043
Cameroon,2021,91,5.142,0.543,0.556,0.159,0.425,0.058,0.205
Senegal,2021,92,5.132,0.518,0.558,0.357,0.381,0.088,0.158
Albania,2021,93,5.117,1.008,0.529,0.646,0.491,0.024,0.168
Ghana,2021,95,5.088,0.68,0.595,0.287,0.517,0.058,0.268
Niger,2021,96,5.074,0.162,0.402,0.167,0.516,0.157,0.2
Turkmenistan,2021,97,5.066,1.046,1.172,0.439,0.602,0.033,0.366
Benin,2021,99,5.045,0.507,0.058,0.196,0.457,0.178,0.166
Bangladesh,2021,101,5.025,0.635,0.52,0.514,0.603,0.164,0.161
Guinea,2021,102,4.984,0.42,0.399,0.206,0.384,0.111,0.25
South Africa,2021,103,4.956,0.967,0.895,0.265,0.447,0.051,0.144
Turkey,2021,104,4.948,1.26,0.809,0.59,0.236,0.104,0.097
Pakistan,2021,105,4.934,0.637,0.423,0.322,0.418,0.097,0.252
Morocco,2021,106,4.918,0.792,0.219,0.558,0.477,0.088,0.034
Venezuela,2021,107,4.892,0.852,0.897,0.574,0.284,0.072,0.078
Georgia,2021,108,4.891,1.03,0.47,0.498,0.488,0.181,0.032
Algeria,2021,109,4.887,0.946,0.765,0.552,0.119,0.12,0.144
Ukraine,2021,110,4.875,0.979,0.958,0.517,0.417,0.01,0.181
Iraq,2021,111,4.854,0.91,0.638,0.381,0.302,0.041,0.153
Gabon,2021,112,4.852,1.037,0.707,0.362,0.424,0.064,0.058
Burkina Faso,2021,113,4.834,0.364,0.472,0.179,0.381,0.122,0.182
Cambodia,2021,114,4.83,0.603,0.68,0.426,0.702,0.061,0.21
Nigeria,2021,116,4.759,0.663,0.625,0.051,0.433,0.039,0.212
Mali,2021,117,4.723,0.387,0.59,0.11,0.384,0.072,0.164
Iran,2021,118,4.721,1.03,0.557,0.561,0.275,0.144,0.33
Uganda,2021,119,4.636,0.364,0.718,0.24,0.398,0.054,0.267
Liberia,2021,120,4.625,0.228,0.58,0.253,0.43,0.057,0.221
Kenya,2021,121,4.607,0.603,0.508,0.385,0.483,0.073,0.375
Tunisia,2021,122,4.596,0.919,0.515,0.59,0.334,0.044,0.057
Lebanon,2021,123,4.584,1.045,0.868,0.595,0.175,0.026,0.14
Palestinian Territories,2021,125,4.517,0.646,0.819,0.434,0.33,0.075,0.082
Myanmar,2021,126,4.426,0.666,0.713,0.341,0.601,0.178,0.52
Jordan,2021,127,4.395,0.89,0.685,0.583,0.455,0.15,0.079
Chad,2021,128,4.355,0.255,0.353,0,0.24,0.084,0.215
Sri Lanka,2021,129,4.325,0.99,0.82,0.593,0.559,0.049,0.239
Egypt,2021,132,4.283,0.954,0.647,0.426,0.446,0.092,0.069
Ethiopia,2021,133,4.275,0.37,0.679,0.331,0.451,0.114,0.241
Mauritania,2021,134,4.227,0.666,0.749,0.273,0.218,0.133,0.119
Madagascar,2021,135,4.208,0.266,0.503,0.341,0.207,0.087,0.185
Togo,2021,136,4.107,0.254,0.239,0.203,0.289,0.107,0.209
Zambia,2021,137,4.073,0.528,0.552,0.231,0.487,0.074,0.227
Sierra Leone,2021,138,3.849,0.279,0.377,0.1,0.408,0.047,0.243
India,2021,139,3.819,0.741,0.316,0.383,0.622,0.106,0.246
Burundi,2021,140,3.775,0,0.062,0.155,0.298,0.212,0.172
Yemen,2021,141,3.658,0.329,0.831,0.272,0.268,0.089,0.092
Tanzania,2021,142,3.623,0.433,0.54,0.3,0.549,0.231,0.307
Haiti,2021,143,3.615,0.294,0.173,0.227,0.257,0.139,0.463
Malawi,2021,144,3.6,0.113,0.168,0.298,0.484,0.134,0.213
Botswana,2021,146,3.467,1.099,0.724,0.34,0.539,0.088,0.027
Rwanda,2021,147,3.415,0.364,0.202,0.407,0.627,0.493,0.227
Zimbabwe,2021,148,3.145,0.457,0.649,0.243,0.359,0.075,0.157
Afghanistan,2021,149,2.523,0.37,0,0.126,0,0.01,0.122
